tick,elapsed_seconds,total_packets,new_packets,dominant_symbol,success_probability,binary_entropy_bits,shannon_entropy_bits
1,2.004813,31,31,TLS/TCP,0.806451612903,0.708835673332,0.886570350891
2,4.001713,40,9,TLS/TCP,0.775000000000,0.769192829013,1.082425954338
3,6.001664,54,14,TLS/TCP,0.796296296296,0.729273941845,1.033794447967
4,8.000624,60,6,TLS/TCP,0.783333333333,0.754034056197,1.149720528851
5,10.000828,68,8,TLS/TCP,0.779411764706,0.761240149692,1.159675207483
6,12.001859,77,9,TLS/TCP,0.753246753247,0.806091469619,1.282644850456
7,14.001090,115,38,TLS/TCP,0.791304347826,0.738982118115,1.140051275127
8,16.001572,119,4,TLS/TCP,0.781512605042,0.757395896882,1.174406411568
9,18.001559,127,8,TLS/TCP,0.779527559055,0.761029228461,1.189573546180
10,20.001623,135,8,TLS/TCP,0.785185185185,0.750585841181,1.166669651391
11,22.001263,141,6,TLS/TCP,0.773049645390,0.772657087146,1.205816567938
12,24.008181,147,6,TLS/TCP,0.768707482993,0.780257655344,1.217325371905
13,26.001788,151,4,TLS/TCP,0.774834437086,0.769488124797,1.194977888601
14,28.000986,152,1,TLS/TCP,0.769736842105,0.778469764862,1.211590298556
15,30.001475,155,3,TLS/TCP,0.767741935484,0.781926896335,1.216382052806
16,32.001151,181,26,TLS/TCP,0.762430939227,0.790974287704,1.236663231514
17,34.001806,206,25,TLS/TCP,0.786407766990,0.748293285982,1.147588992643
18,36.001333,219,13,TLS/TCP,0.794520547945,0.732752549955,1.115294434069
19,38.002569,227,8,TLS/TCP,0.792951541850,0.735802965845,1.126166184080
20,40.001465,237,10,TLS/TCP,0.797468354430,0.726962581335,1.106933859059
21,42.000785,258,21,TLS/TCP,0.810077519380,0.701309267181,1.055742609886
22,44.000837,290,32,TLS/TCP,0.806896551724,0.707918676161,1.075558024344
23,46.001219,332,42,TLS/TCP,0.804216867470,0.713413763855,1.081542871132
24,48.001319,352,20,TLS/TCP,0.801136363636,0.719649537494,1.097529130988
25,50.001115,398,46,TLS/TCP,0.728643216080,0.843404805624,1.301030565644
26,52.002433,404,6,TLS/TCP,0.727722772277,0.844713369213,1.303244442280
27,54.001419,411,7,TLS/TCP,0.729927007299,0.841569356641,1.297578703282
28,56.000655,416,5,TLS/TCP,0.730769230769,0.840358671609,1.296003872685
29,58.001389,468,52,TLS/TCP,0.741452991453,0.824545863697,1.275675505682
30,60.001274,470,2,TLS/TCP,0.742553191489,0.822869079209,1.272079020590
31,62.001519,513,43,TLS/TCP,0.758284600390,0.797881310563,1.222683846013
32,64.001115,536,23,TLS/TCP,0.757462686567,0.799234343311,1.227830488299
33,66.001344,550,14,TLS/TCP,0.761818181818,0.792003610373,1.213681101610
34,68.002942,560,10,TLS/TCP,0.764285714286,0.787840349204,1.208500641844
35,70.001427,565,5,TLS/TCP,0.761061946903,0.793269834426,1.217979425800
36,72.001442,566,1,TLS/TCP,0.759717314488,0.795510059557,1.223270469770
37,74.001733,567,1,TLS/TCP,0.758377425044,0.797728168877,1.228465253106
